CRK,0.0485,332.14M,3.47B,After Market Close,Monday, July 31, 2023
OTTR,1.45,325.25M,3.37B,After Market Close,Monday, July 31, 2023
KMPR,-0.329,1.33B,3.27B,After Market Close,Monday, July 31, 2023
NPSKY,--,1.7B,3.16B,After Market Close,Monday, July 31, 2023
VRNS,0.0204,119.14M,3.08B,After Market Close,Monday, July 31, 2023
JJSF,1.52,443.15M,3.04B,After Market Close,Monday, July 31, 2023
AMRC,0.1722,290.97M,2.99B,After Market Close,Monday, July 31, 2023
ATGSY,--,--,2.99B,After Market Close,Monday, July 31, 2023
CNO,0.6704,916.06M,2.93B,After Market Close,Monday, July 31, 2023
CBU,0.8525,176.74M,2.83B,Before Market Open,Monday, July 31, 2023
HCM,-0.055,184.38M,2.50B,Before Market Open,Monday, July 31, 2023
ARLP,1.29,667.52M,2.44B,Before Market Open,Monday, July 31, 2023
SJW,0.5601,160.27M,2.22B,Before Market Open,Monday, July 31, 2023
CWK,0.1744,1.65B,2.19B,After Market Close,Monday, July 31, 2023
ADX,--,--,2.13B,After Market Close,Monday, July 31, 2023
CAMT,0.4195,72.33M,2.11B,Before Market Open,Monday, July 31, 2023
AESI,0.67,146.49M,1.95B,After Market Close,Monday, July 31, 2023
AROC,0.1433,241.77M,1.81B,After Market Close,Monday, July 31, 2023
ARI,0.3832,81.26M,1.68B,After Market Close,Monday, July 31, 2023
HLIT,0.1333,167.52M,1.66B,After Market Close,Monday, July 31, 2023
IVT,0.015,62.7M,1.64B,After Market Close,Monday, July 31, 2023
NBTB,0.8333,128.02M,1.63B,After Market Close,Monday, July 31, 2023
NTB,1.17,146.06M,1.61B,After Market Close,Monday, July 31, 2023
RYI,1.33,1.09B,1.49B,After Market Close,Monday, July 31, 2023
HTLF,1.16,182.93M,1.46B,After Market Close,Monday, July 31, 2023
ADUS,1.01,256.17M,1.45B,After Market Close,Monday, July 31, 2023
ELME,0.0101,56.64M,1.42B,After Market Close,Monday, July 31, 2023
MSC,--,--,1.39B,After Market Close,Monday, July 31, 2023
ILPMY,--,--,1.35B,After Market Close,Monday, July 31, 2023
HTLD,0.1594,319.71M,1.34B,After Market Close,Monday, July 31, 2023
CGAU,-0.1391,170.82M,1.34B,After Market Close,Monday, July 31, 2023
KFRC,0.9657,395.87M,1.23B,After Market Close,Monday, July 31, 2023
GDEN,0.4912,282.28M,1.23B,After Market Close,Monday, July 31, 2023
PGRE,-0.01,182.52M,1.21B,After Market Close,Monday, July 31, 2023
FBRT,0.5055,70.74M,1.17B,After Market Close,Monday, July 31, 2023
USLM,--,--,1.15B,After Market Close,Monday, July 31, 2023
HCCI,0.545,194.37M,1.12B,After Market Close,Monday, July 31, 2023
IRBT,-1.55,214.74M,1.09B,After Market Close,Monday, July 31, 2023
KIDS,-0.2057,39.27M,972.04M,After Market Close,Monday, July 31, 2023
CSR,-0.13,65.86M,967.95M,After Market Close,Monday, July 31, 2023
ALX,--,53M,962.83M,After Market Close,Monday, July 31, 2023
OXLC,0.27,--,956.22M,After Market Close,Monday, July 31, 2023
UAN,--,--,955.92M,After Market Close,Monday, July 31, 2023
BHE,0.466,692.5M,927.98M,After Market Close,Monday, July 31, 2023
DRQ,0.0435,97.12M,863.55M,After Market Close,Monday, July 31, 2023
INVA,0.26,67.92M,861.38M,After Market Close,Monday, July 31, 2023
GABC,0.672,63.44M,854.96M,After Market Close,Monday, July 31, 2023
PLOW,0.8933,193.73M,702.16M,After Market Close,Monday, July 31, 2023
PHVS,-0.6516,0.00,689.63M,After Market Close,Monday, July 31, 2023
EHAB,0.1348,273.51M,685.87M,After Market Close,Monday, July 31, 2023
TRNS,0.322,59.65M,643.04M,After Market Close,Monday, July 31, 2023
GCBC,--,--,587.43M,After Market Close,Monday, July 31, 2023
PML,--,--,586.46M,After Market Close,Monday, July 31, 2023
TTI,0.092,172.53M,566.77M,After Market Close,Monday, July 31, 2023
NPK,--,--,551.56M,After Market Close,Monday, July 31, 2023
HSII,0.72,261.59M,542.75M,After Market Close,Monday, July 31, 2023
VALU,--,--,509.7M,After Market Close,Monday, July 31, 2023
AAN,0.1843,547.87M,476.92M,After Market Close,Monday, July 31, 2023
NETI,0.075,38.27M,461.52M,After Market Close,Monday, July 31, 2023
MITK,0.2653,43.85M,459.31M,After Market Close,Monday, July 31, 2023
LICT,--,--,421.07M,After Market Close,Monday, July 31, 2023
TYG,--,--,360.94M,After Market Close,Monday, July 31, 2023
CMPX,-0.0814,0.00,337.42M,After Market Close,Monday, July 31, 2023
AROW,0.73,37.75M,335.03M,After Market Close,Monday, July 31, 2023
DBVT,-0.2133,907.33K,320.28M,After Market Close,Monday, July 31, 2023
NCV,--,--,318.11M,After Market Close,Monday, July 31, 2023
PETS,0.0767,79.95M,289.77M,After Market Close,Monday, July 31, 2023
SILC,0.66,38.77M,263.83M,After Market Close,Monday, July 31, 2023
CPSS,0.24,76.31M,261.80M,After Market Close,Monday, July 31, 2023
TSBK,--,--,256.02M,After Market Close,Monday, July 31, 2023
BBBYQ,-1.18,1.38B,212.71M,After Market Close,Monday, July 31, 2023
TRUE,-0.136,38.96M,209.61M,After Market Close,Monday, July 31, 2023
HBIO,0.0633,29.63M,201.46M,After Market Close,Monday, July 31, 2023
ATNM,-0.4633,0.00,183.55M,After Market Close,Monday, July 31, 2023
ATLO,--,--,178.49M,After Market Close,Monday, July 31, 2023
SEVN,0.345,11.70M,148.1M,After Market Close,Monday, July 31, 2023
AMNF,--,--,134.68M,After Market Close,Monday, July 31, 2023
PTRS,--,--,127.57M,After Market Close,Monday, July 31, 2023
FCAP,--,--,125.98M,After Market Close,Monday, July 31, 2023
CTG,0.14,78.7M,122.25M,After Market Close,Monday, July 31, 2023
AMBK,--,--,121.66M,After Market Close,Monday, July 31, 2023
ECF,--,--,120.29M,After Market Close,Monday, July 31, 2023
BFIN,0.265,14.8M,112.52M,After Market Close,Monday, July 31, 2023
FFDF,--,--,106.53M,After Market Close,Monday, July 31, 2023
LNKB,0.065,9.05M,106.13M,After Market Close,Monday, July 31, 2023
FDVA,--,--,95.11M,After Market Close,Monday, July 31, 2023
PBHC,--,--,87.85M,After Market Close,Monday, July 31, 2023
SMSI,-0.0275,10.65M,74.48M,After Market Close,Monday, July 31, 2023
VBFC,--,--,69.82M,After Market Close,Monday, July 31, 2023
BSGM,-0.1,135K,66.42M,After Market Close,Monday, July 31, 2023
BNED,-0.6,247.7M,65.76M,After Market Close,Monday, July 31, 2023
FRBK,-0.07,27.43M,63.87M,After Market Close,Monday, July 31, 2023
VGZ,--,--,61.39M,After Market Close,Monday, July 31, 2023
BUKS,--,--,60.66M,After Market Close,Monday, July 31, 2023
RCAT,-0.06,4.2M,56.65M,After Market Close,Monday, July 31, 2023
